"","bibcode","year","month","months","id","zero_month","min_year","npap","diff"
"1","APJ",2013,12,24168,5,FALSE,2013,2,9
"2","APJ",2014,12,24180,5,FALSE,2013,3,12
"3","MNRAS",2008,10,24106,8,FALSE,2008,2,1
"4","APJ",2009,9,24117,8,FALSE,2008,3,11
"5","MNRAS",2009,12,24120,8,FALSE,2008,4,3
"6","AJ",2003,10,24046,9,FALSE,2001,2,22
"7","AJ",2004,7,24055,9,FALSE,2001,3,9
"8","AJ",2005,3,24063,9,FALSE,2001,4,8
"9","APJ",2005,6,24066,9,FALSE,2001,5,3
"10","APJ",2007,8,24092,19,FALSE,2007,2,5
"11","APJ",2007,9,24093,19,FALSE,2007,3,1
"12","SCI",2008,11,24107,19,FALSE,2007,4,14
"13","APJ",2008,12,24108,19,FALSE,2007,5,1
"14","SCI",2009,3,24111,19,FALSE,2007,6,3
"15","APJ",2009,4,24112,19,FALSE,2007,7,1
"16","APJ",2009,5,24113,19,FALSE,2007,8,1
"17","A&A",2003,3,24039,21,FALSE,2001,2,19
"18","A&A",2006,5,24077,21,FALSE,2001,3,38
"19","A&A",2007,1,24085,21,FALSE,2001,4,8
"20","A&A",2013,5,24161,21,FALSE,2001,5,76
"21","AJ",2014,8,24176,24,FALSE,2011,2,34
"22","AJ",2014,12,24180,24,FALSE,2011,3,4
"23","APJ",2015,2,24182,26,FALSE,2014,2,2
"24","APJ",2015,5,24185,26,FALSE,2014,3,3
"25","A&A",1988,11,23867,27,FALSE,1988,2,10
"26","APJ",1989,12,23880,27,FALSE,1988,3,13
"27","APJ",1991,1,23893,27,FALSE,1988,4,13
"28","A&A",1991,5,23897,27,FALSE,1988,5,4
"29","A&A",1993,5,23921,27,FALSE,1988,6,24
"30","A&A",1993,8,23924,27,FALSE,1988,7,3
"31","A&A",1995,6,23946,27,FALSE,1988,8,22
"32","APJ",1996,3,23955,27,FALSE,1988,9,9
"33","MNRAS",1997,8,23972,27,FALSE,1988,10,17
"34","MNRAS",1998,1,23977,27,FALSE,1988,11,5
"35","MNRAS",1998,10,23986,27,FALSE,1988,12,9
"36","A&A",1999,11,23999,27,FALSE,1988,13,13
"37","APJ",2000,6,24006,27,FALSE,1988,14,7
"38","APJ",2001,8,24020,27,FALSE,1988,15,14
"39","APJ",2001,10,24022,27,FALSE,1988,16,2
"40","MNRAS",2012,6,24150,28,FALSE,2007,2,56
"41","MNRAS",2012,12,24156,28,FALSE,2007,3,6
"42","MNRAS",2013,6,24162,28,FALSE,2007,4,6
"43","MNRAS",2013,9,24165,28,FALSE,2007,5,3
"44","MNRAS",2014,12,24180,28,FALSE,2007,6,15
"45","ICAR",2009,1,24109,33,FALSE,2008,2,8
"46","NATUR",2009,5,24113,33,FALSE,2008,3,4
"47","APJ",2011,7,24139,34,FALSE,2010,2,17
"48","A&A",2012,1,24145,34,FALSE,2010,3,6
"49","APJ",2012,2,24146,34,FALSE,2010,4,1
"50","APJ",2012,5,24149,34,FALSE,2010,5,3
"51","APJ",2012,10,24154,34,FALSE,2010,6,5
"52","A&A",2012,12,24156,34,FALSE,2010,7,2
"53","APJ",2014,3,24171,34,FALSE,2010,8,15
"54","MNRAS",2014,4,24172,34,FALSE,2010,9,1
"55","APJ",2014,10,24178,34,FALSE,2010,10,6
"56","APJ",2015,3,24183,34,FALSE,2010,11,5
"57","A&A",2009,10,24118,43,FALSE,2007,2,22
"58","SCI",2009,11,24119,43,FALSE,2007,3,1
"59","MNRAS",2010,3,24123,43,FALSE,2007,4,4
"60","A&A",2010,6,24126,43,FALSE,2007,5,3
"61","A&A",2013,3,24159,43,FALSE,2007,6,33
"62","APJ",2013,8,24164,43,FALSE,2007,7,5
"63","APJ",2013,12,24168,43,FALSE,2007,8,4
"64","MNRAS",2001,10,24022,44,FALSE,1999,2,29
"65","MNRAS",2005,6,24066,44,FALSE,1999,3,44
"66","MNRAS",2006,12,24084,44,FALSE,1999,4,18
"67","APJ",2009,6,24114,44,FALSE,1999,5,30
"68","APJ",2012,4,24148,48,FALSE,2011,2,8
"69","APJ",2012,6,24150,48,FALSE,2011,3,2
"70","APJ",2015,5,24185,48,FALSE,2011,4,35
"71","MNRAS",2010,4,24124,49,FALSE,2003,2,82
"72","MNRAS",2010,8,24128,49,FALSE,2003,3,4
"73","MNRAS",2012,5,24149,49,FALSE,2003,4,21
"74","SCI",1964,3,23571,55,FALSE,1963,2,13
"75","APJ",1968,4,23620,55,FALSE,1963,3,49
"76","A&A",1971,5,23657,55,FALSE,1963,4,37
"77","APJ",1971,9,23661,55,FALSE,1963,5,4
"78","APJ",1972,3,23667,55,FALSE,1963,6,6
"79","APJ",1972,5,23669,55,FALSE,1963,7,2
"80","APJ",1972,6,23670,55,FALSE,1963,8,1
"81","APJ",1972,8,23672,55,FALSE,1963,9,2
"82","APJ",1973,1,23677,55,FALSE,1963,10,5
"83","APJ",1974,3,23691,55,FALSE,1963,11,14
"84","APJ",1975,3,23703,55,FALSE,1963,12,12
"85","A&A",2014,9,24177,56,FALSE,2012,2,26
"86","APJ",1974,4,23692,59,FALSE,1974,2,3
"87","A&A",1976,12,23724,59,FALSE,1974,3,32
"88","APJ",2008,2,24098,59,FALSE,1974,4,374
"89","A&A",2010,9,24129,59,FALSE,1974,5,31
"90","APJ",2014,9,24177,59,FALSE,1974,6,48
"91","A&A",2012,7,24151,63,FALSE,2011,2,8
"92","A&A",2012,9,24153,63,FALSE,2011,3,2
"93","A&A",2012,11,24155,63,FALSE,2011,4,2
"94","A&A",2013,6,24162,63,FALSE,2011,5,7
"95","A&A",2013,12,24168,63,FALSE,2011,6,6
"96","A&A",2014,4,24172,63,FALSE,2011,7,4
"97","MNRAS",2015,6,24186,63,FALSE,2011,8,14
"98","A&A",2008,6,24102,67,FALSE,2005,2,38
"99","MNRAS",2012,7,24151,67,FALSE,2005,3,49
"100","MNRAS",2013,4,24160,67,FALSE,2005,4,9
"101","APJ",2000,6,24006,68,FALSE,1998,2,27
"102","APJ",2001,10,24022,68,FALSE,1998,3,16
"103","APJ",2003,11,24047,68,FALSE,1998,4,25
"104","APJ",2005,5,24065,68,FALSE,1998,5,18
"105","AJ",2006,3,24075,68,FALSE,1998,6,10
"106","A&A",1997,9,23973,76,FALSE,1996,2,14
"107","A&A",1998,6,23982,76,FALSE,1996,3,9
"108","A&A",1999,1,23989,76,FALSE,1996,4,7
"109","A&A",1999,7,23995,76,FALSE,1996,5,6
"110","A&A",2000,5,24005,76,FALSE,1996,6,10
"111","A&A",2001,1,24013,76,FALSE,1996,7,8
"112","A&A",2001,7,24019,76,FALSE,1996,8,6
"113","A&A",2002,10,24034,76,FALSE,1996,9,15
"114","A&A",2003,8,24044,76,FALSE,1996,10,10
"115","A&A",2005,9,24069,76,FALSE,1996,11,25
"116","A&A",2009,3,24111,76,FALSE,1996,12,42
"117","APJ",2002,3,24027,80,FALSE,1999,2,28
"118","APJ",2004,10,24058,80,FALSE,1999,3,31
"119","NATUR",2006,5,24077,80,FALSE,1999,4,19
"120","APJ",2012,2,24146,80,FALSE,1999,5,69
"121","MNRAS",1996,10,23962,81,FALSE,1996,2,7
"122","MNRAS",1998,1,23977,81,FALSE,1996,3,15
"123","APJ",1998,11,23987,81,FALSE,1996,4,10
"124","APJ",1999,10,23998,81,FALSE,1996,5,11
"125","APJ",2000,1,24001,81,FALSE,1996,6,3
"126","APJ",2000,8,24008,81,FALSE,1996,7,7
"127","APJ",2000,12,24012,81,FALSE,1996,8,4
"128","APJ",2001,9,24021,81,FALSE,1996,9,9
"129","MNRAS",2002,8,24032,81,FALSE,1996,10,11
"130","APJ",2002,9,24033,81,FALSE,1996,11,1
"131","APJ",2002,11,24035,81,FALSE,1996,12,2
"132","APJ",2003,9,24045,81,FALSE,1996,13,10
"133","APJ",2004,1,24049,81,FALSE,1996,14,4
"134","MNRAS",2005,5,24065,81,FALSE,1996,15,16
"135","MNRAS",2007,1,24085,81,FALSE,1996,16,20
"136","A&A",2006,7,24079,83,FALSE,2001,2,64
"137","A&A",2006,9,24081,83,FALSE,2001,3,2
"138","A&A",2007,12,24096,83,FALSE,2001,4,15
"139","APJ",2011,1,24133,83,FALSE,2001,5,37
"140","APJ",2011,7,24139,83,FALSE,2001,6,6
"141","APJ",2012,3,24147,83,FALSE,2001,7,8
"142","A&A",2012,5,24149,83,FALSE,2001,8,2
"143","APJ",2012,6,24150,83,FALSE,2001,9,1
"144","A&A",2014,6,24174,83,FALSE,2001,10,24
"145","APJ",1986,8,23840,85,FALSE,1985,2,12
"146","APJ",1988,12,23868,85,FALSE,1985,3,28
"147","APJ",1990,5,23885,85,FALSE,1985,4,17
"148","APJ",1974,3,23691,91,FALSE,1973,2,13
"149","NATUR",1975,11,23711,91,FALSE,1973,3,20
"150","A&A",1983,10,23806,91,FALSE,1973,4,95
"151","MNRAS",2011,8,24140,94,FALSE,2007,2,54
"152","A&A",2004,2,24050,95,FALSE,2002,2,15
"153","MNRAS",2004,5,24053,95,FALSE,2002,3,3
"154","MNRAS",2007,2,24086,95,FALSE,2002,4,33
"155","MNRAS",2007,6,24090,95,FALSE,2002,5,4
"156","A&A",2008,9,24105,95,FALSE,2002,6,15
"157","A&A",2009,10,24118,95,FALSE,2002,7,13
"158","MNRAS",2012,2,24146,95,FALSE,2002,8,28
"159","MNRAS",2015,3,24183,95,FALSE,2002,9,37
"160","MNRAS",2015,7,24187,95,FALSE,2002,10,4
"161","APJ",1978,6,23742,99,FALSE,1975,2,31
"162","A&A",1979,3,23751,99,FALSE,1975,3,9
"163","A&A",2002,7,24031,101,FALSE,2001,2,15
"164","APJ",2011,9,24141,102,FALSE,2010,2,10
"165","APJ",2013,4,24160,102,FALSE,2010,3,19
"166","APJ",2014,8,24176,102,FALSE,2010,4,16
"167","APJ",1996,1,23953,107,FALSE,1974,2,259
"168","APJ",1996,10,23962,107,FALSE,1974,3,9
"169","APJ",1997,12,23976,107,FALSE,1974,4,14
"170","APJ",1998,9,23985,107,FALSE,1974,5,9
"171","APJ",1999,9,23997,107,FALSE,1974,6,12
"172","APJ",2000,11,24011,107,FALSE,1974,7,14
"173","APJ",2002,2,24026,107,FALSE,1974,8,15
"174","APJ",2005,3,24063,107,FALSE,1974,9,37
"175","APJ",2005,12,24072,107,FALSE,1974,10,9
"176","APJ",2007,12,24096,107,FALSE,1974,11,24
"177","APJ",2009,2,24110,107,FALSE,1974,12,14
"178","APJ",2011,2,24134,107,FALSE,1974,13,24
"179","SCI",2011,10,24142,107,FALSE,1974,14,8
"180","PASP",2013,8,24164,107,FALSE,1974,15,22
"181","APJ",2014,3,24171,107,FALSE,1974,16,7
"182","MNRAS",2012,9,24153,113,FALSE,2012,2,3
"183","MNRAS",2013,7,24163,116,FALSE,2011,2,24
"184","APJ",2014,1,24169,116,FALSE,2011,3,6
"185","APJ",2014,10,24178,116,FALSE,2011,4,9
"186","APJ",2014,11,24179,116,FALSE,2011,5,1
"187","APJ",2015,1,24181,116,FALSE,2011,6,2
"188","APJ",2015,3,24183,116,FALSE,2011,7,2
"189","MNRAS",2015,7,24187,116,FALSE,2011,8,4
"190","A&A",2000,12,24012,117,FALSE,1999,2,17
"191","A&A",2001,9,24021,117,FALSE,1999,3,9
"192","A&A",2003,3,24039,117,FALSE,1999,4,18
"193","A&A",2004,6,24054,117,FALSE,1999,5,15
"194","A&A",1997,3,23967,122,FALSE,1993,2,46
"195","A&A",1998,2,23978,122,FALSE,1993,3,11
"196","A&A",2000,1,24001,122,FALSE,1993,4,23
"197","A&A",2000,3,24003,122,FALSE,1993,5,2
