"","id","max_npap"
"1",2,14
"2",3,5
"3",5,3
"4",6,1
"5",7,1
"6",8,4
"7",9,5
"8",12,6
"9",17,1
"10",18,6
"11",19,8
"12",21,5
"13",22,1
"14",23,1
"15",24,3
"16",25,1
"17",26,3
"18",27,18
"19",28,6
"20",29,1
"21",33,3
"22",34,11
"23",43,8
"24",44,5
"25",48,4
"26",49,4
"27",55,12
"28",56,2
"29",59,6
"30",62,1
"31",63,8
"32",64,1
"33",65,15
"34",67,4
"35",68,6
"36",76,12
"37",77,1
"38",80,5
"39",81,17
"40",83,10
"41",85,4
"42",87,1
"43",91,4
"44",94,2
"45",95,10
"46",99,3
"47",101,2
"48",102,4
"49",107,16
"50",110,1
"51",111,1
"52",113,2
"53",115,1
"54",116,8
"55",117,5
"56",122,6
"57",123,3
"58",124,7
"59",127,4
"60",129,16
"61",131,10
"62",132,3
"63",135,1
"64",136,8
"65",141,6
"66",143,3
"67",144,4
"68",145,13
"69",146,7
"70",147,11
"71",148,4
"72",149,5
"73",150,10
"74",160,17
"75",162,1
"76",163,13
"77",164,1
"78",166,8
"79",168,4
"80",170,5
"81",173,1
"82",174,17
"83",175,8
"84",176,3
"85",178,5
"86",179,1
"87",180,20
"88",181,2
"89",182,2
"90",185,3
"91",186,2
"92",187,3
"93",189,5
"94",190,8
"95",191,7
"96",192,6
"97",193,8
"98",196,14
"99",201,1
"100",204,1
"101",205,9
"102",207,7
"103",211,9
"104",214,4
"105",221,1
"106",222,2
"107",223,1
"108",225,2
"109",226,3
"110",228,6
"111",229,7
"112",230,2
"113",235,2
"114",236,3
"115",237,1
"116",239,13
"117",240,12
"118",241,12
"119",242,1
"120",245,4
"121",246,2
"122",248,3
"123",249,2
"124",252,5
"125",256,4
"126",257,6
"127",259,4
"128",260,8
"129",261,7
"130",266,10
"131",270,11
"132",272,14
"133",277,17
"134",278,1
"135",279,9
"136",280,3
"137",281,1
"138",283,5
"139",284,1
"140",288,19
"141",289,8
"142",290,5
"143",292,7
"144",293,5
"145",297,7
"146",298,16
"147",299,5
"148",300,8
"149",304,2
"150",305,10
"151",308,2
"152",309,2
"153",314,1
"154",317,2
"155",320,15
"156",321,8
"157",325,1
"158",328,1
"159",330,1
"160",332,3
"161",337,12
"162",338,7
"163",339,7
"164",341,9
"165",342,6
"166",343,2
"167",346,19
"168",348,3
"169",349,2
"170",350,3
"171",351,5
"172",354,13
"173",355,16
"174",356,10
"175",360,5
"176",364,2
"177",365,1
"178",366,2
"179",367,9
"180",368,11
"181",369,1
"182",370,5
"183",371,9
"184",372,12
"185",373,7
"186",374,2
"187",379,5
"188",381,5
"189",382,2
"190",384,4
"191",385,2
"192",386,2
"193",388,9
"194",395,1
"195",396,1
"196",399,3
"197",404,2
"198",408,1
"199",411,15
"200",412,4
"201",414,6
"202",415,5
"203",416,2
"204",417,4
"205",418,10
"206",428,1
"207",429,2
"208",430,15
"209",432,2
"210",433,1
"211",434,5
"212",435,3
"213",436,15
"214",438,4
"215",442,11
"216",448,14
"217",450,1
"218",455,4
"219",457,4
"220",459,3
"221",460,3
"222",462,10
"223",464,17
"224",468,5
"225",470,17
"226",473,7
"227",474,15
"228",477,7
"229",479,8
"230",480,1
"231",481,15
"232",482,1
"233",483,9
"234",484,18
"235",485,3
"236",487,1
"237",488,13
"238",491,5
"239",492,10
"240",493,9
"241",494,1
"242",495,2
"243",496,3
"244",498,13
"245",502,2
"246",503,1
"247",504,12
"248",507,3
"249",510,3
"250",511,3
"251",513,5
"252",515,1
"253",518,2
"254",522,14
"255",524,7
"256",525,11
"257",528,3
"258",529,9
"259",534,1
"260",536,3
"261",538,12
"262",539,12
"263",540,6
"264",544,4
"265",546,8
"266",548,5
"267",553,8
"268",554,4
"269",555,9
"270",556,9
"271",557,2
"272",558,13
"273",561,8
"274",563,13
"275",564,5
"276",567,1
"277",568,17
"278",569,8
"279",570,3
"280",575,11
"281",576,2
"282",577,14
"283",578,12
"284",579,5
"285",580,3
"286",585,17
"287",586,4
"288",587,4
"289",590,3
"290",591,1
"291",592,9
"292",593,5
"293",595,4
"294",596,8
"295",597,11
"296",598,18
"297",602,10
"298",606,16
"299",608,1
"300",609,8
"301",611,1
"302",612,1
"303",614,6
"304",615,2
"305",618,14
"306",619,5
"307",620,8
"308",621,3
"309",623,7
"310",624,5
"311",625,1
"312",626,10
"313",627,1
"314",630,8
"315",631,2
"316",632,8
"317",633,5
"318",635,9
"319",639,2
"320",642,1
"321",643,1
"322",646,1
"323",648,5
"324",653,14
"325",654,8
"326",655,2
"327",656,14
"328",657,10
"329",658,3
"330",659,1
"331",660,15
"332",661,9
"333",664,2
"334",665,13
"335",666,5
"336",669,11
"337",672,3
"338",674,17
"339",675,10
"340",681,7
"341",682,19
"342",685,8
"343",686,5
"344",687,12
"345",688,17
"346",689,1
"347",690,5
"348",693,15
"349",698,8
"350",699,12
"351",701,6
"352",703,14
"353",704,2
"354",705,2
"355",706,5
"356",714,4
"357",715,17
"358",716,9
"359",717,10
"360",718,17
"361",719,14
"362",722,7
"363",723,13
"364",724,2
"365",726,4
"366",727,2
"367",728,11
"368",729,2
"369",730,8
"370",731,8
"371",734,9
"372",735,2
"373",736,6
"374",738,17
"375",739,9
"376",740,1
"377",742,1
"378",744,16
"379",745,13
"380",746,12
"381",747,3
"382",749,2
"383",750,3
"384",751,1
"385",752,1
"386",753,11
"387",755,1
"388",757,15
"389",758,4
"390",759,18
"391",770,1
"392",774,3
"393",775,1
"394",776,3
"395",777,1
"396",778,6
"397",782,15
"398",783,6
"399",785,12
"400",786,9
"401",787,5
"402",788,11
"403",791,1
"404",792,2
"405",793,2
"406",794,11
"407",795,2
"408",798,3
"409",802,3
"410",803,12
"411",805,1
"412",807,3
"413",808,12
"414",809,2
"415",813,3
"416",814,2
"417",815,5
"418",818,1
"419",819,1
"420",820,4
"421",821,3
"422",822,2
"423",823,1
"424",824,10
"425",825,1
"426",828,2
"427",830,10
"428",831,19
"429",832,2
"430",833,6
"431",834,12
"432",835,2
"433",836,15
"434",837,9
"435",838,1
"436",839,8
"437",840,6
"438",841,12
"439",842,19
"440",843,2
"441",844,16
"442",845,6
"443",846,11
"444",847,1
"445",848,5
"446",849,9
"447",850,1
"448",853,1
"449",855,8
"450",856,13
"451",859,3
"452",861,17
"453",863,13
"454",868,1
"455",870,3
"456",871,7
"457",872,8
"458",876,3
"459",880,2
"460",882,1
"461",884,4
"462",885,9
"463",887,12
"464",890,8
"465",891,6
"466",892,6
"467",894,2
"468",898,1
"469",900,3
"470",905,15
"471",910,1
"472",911,3
"473",912,14
"474",913,9
"475",914,17
"476",915,5
"477",916,2
"478",919,1
"479",920,15
"480",923,5
"481",925,14
"482",927,1
"483",932,2
"484",934,2
"485",935,4
"486",937,13
"487",939,1
"488",940,2
"489",942,14
"490",943,11
"491",944,14
"492",947,1
"493",949,1
"494",950,6
"495",953,7
"496",955,8
"497",959,7
"498",961,3
"499",964,10
"500",965,9
"501",967,2
"502",968,1
"503",969,6
"504",970,7
"505",971,13
"506",972,6
"507",973,2
"508",974,14
"509",978,4
"510",979,1
"511",980,4
"512",982,16
"513",983,4
"514",984,9
"515",985,8
"516",987,16
"517",988,5
"518",994,12
"519",996,1
"520",998,8
"521",999,7
"522",1000,3
"523",1001,1
"524",1003,15
"525",1006,1
"526",1007,8
"527",1009,1
"528",1010,7
"529",1012,16
"530",1013,10
"531",1014,1
"532",1015,1
"533",1016,1
"534",1017,16
"535",1018,8
"536",1019,1
"537",1020,9
"538",1022,1
"539",1025,2
"540",1027,4
"541",1029,3
"542",1030,13
"543",1031,4
"544",1032,1
"545",1035,2
"546",1036,1
"547",1037,14
"548",1047,1
"549",1049,6
"550",1054,9
"551",1056,15
"552",1057,7
"553",1059,12
"554",1061,16
"555",1063,6
"556",1064,1
"557",1065,4
"558",1066,11
"559",1067,1
"560",1068,1
"561",1070,12
"562",1072,15
"563",1075,4
"564",1078,2
"565",1080,2
"566",1081,1
"567",1083,3
"568",1085,4
"569",1086,2
"570",1089,17
"571",1091,5
"572",1092,8
"573",1093,17
"574",1094,16
"575",1095,9
"576",1096,16
"577",1098,11
"578",1099,3
"579",1100,12
"580",1104,2
"581",1105,13
"582",1106,6
"583",1107,1
"584",1108,14
"585",1111,7
"586",1112,14
"587",1118,1
"588",1120,1
"589",1123,14
"590",1127,9
"591",1128,6
"592",1129,4
